Villain	Year first	Year last	Doc. no.	Doctor actor	Episodes	Stories, total	Motivation (invasion earth, kill humans, etc)	Story titles
Dracula, Robot Count	1965	1965	1	William Hartnell	6	1	Serve big bad	The Chase
Daughter of Mine	2007	2007	10	David Tennant	2	1	Infiltrate places	Human Nature/The Family of Blood
Capricorn, Max	2007	2007	10	David Tennant	1	1	Bankrupt company	Voyage of the Damned
Rudge	1986	1986	6	Colin Baker	4	1	Serve big bad	Terror of the Vervoids
Dent	1971	1971	3	Jon Pertwee	6	1	Make money	Colony in Space
Gell guards 	1972	1973	1,2,3	William Hartnell, Patrick Troughton, Jon Pertwee	4	1	Serve big bad	The Three Doctors
Salamander	1967	1968	2	Patrick Troughton	6	1	Wants to control an organisation	The Enemy of the World
Zu-Zana	2005	2005	9	Christopher Eccleston	1	1	Serve big bad	Bad Wolf
Nilson	1984	1984	5	Peter Davison	4	1	Serve big bad	Warriors of the Deep
Sensorites	1964	1964	1	William Hartnell	6	1	Fear	The Sensorites
Mysterious Man	2007	2007	10	David Tennant	1	1	Power/ serve big bad	The Hazarus Experiment
Dalek prime minister	2012	2012	11	Matt Smith	1	1	Protecting the Daleks	Asylum of the Daleks
Skorpius Flies	2009	2009	10	David Tennant	7	1	Self interest (food)	Dreamland
Ogrons 	1972	1973	3	Jon Pertwee	10	2	Serve big bad	Day of the Daleks, Frontier in Space
Zaroff, Professor	1967	1967	2	Patrick Troughton	4	1	Destroy the World	The Underwater Menace
Primord	1970	1970	3	Jon Pertwee	7	1	Control Humans	Inferno
Axons	1971	1971	3	Jon Pertwee	4	1	Earth invasion/Human extermination	The Claws of Axos
Kroll	1978	1979	4	Tom Baker	4	1	Indiscriminate destruction	The Power of Kroll
Adipose Industries 	2008	2008	10	David Tennant	1	1	Control the World	Partners in Crime
Smith, Josiah Samuel (Survey)	1989	1989	7	Sylvester McCoy	3	1	Destroy all life	Ghost Light
Lupine Wavelength Haemovariform (werewolf)	2006	2006	10	David Tennant	1	1	Kill everything	Tooth and Claw
Hoix	2006	2010	10,11	David Tennant, Matt Smith	2	2	Consume everything/Imprison the Doctor	Love and Monsters (cameo), The Pandorica Opens (see Alliance above)
Wire (the)	2006	2006	10	David Tennant	1	1	Erase thoughts	The Idiot's Lantern
Hepesh	1972	1972	3	Jon Pertwee	4	1	Universal control	The Curse of Peladon
Varga	1967	1967	2	Patrick Troughton	6	1	World domination	The Ice Warriors
Gurney, Constantine Ethelred	2007	2007	10	David Tennant	13	1	Larceny, blackmail and fraud	The Infinite Quest 
Shakri	2012	2012	11	Matt Smith	1	1	Destroy humans	The Power of Three
Clown robots	1989	1989	7	Sylvester McCoy	4	1	Serve big bad	The Greatest Show in the Galaxy
Dextrus, Lucias Petrus	2008	2008	10	David Tennant	1	1	Dominate the world	The Fires of Pompeii
Terileptils	1982	1982	5	Peter Davison	4	1	Kill the Doctor	The Visitation
Hindle	1982	1982	5	Peter Davison	4	1	Serve big bad	Kinda
Ingiger	1989	1989	7	Sylvester McCoy	4	1	Control alien species	The Curse of Fenric
Marshal of Atrios	1979	1979	4	Tom Baker 	6	1	Power	The Armageddon Factor
Hedin, Councillor	1983	1983	5	Peter Davison	4	1	Viral infection	Arc of Infinity
Peking Homunculus (Mr Sin)	1977	1977	4	Tom Baker	6	1	Kill humans	Talons of Weng Chiang
Forest Monster	2013	2013	11	Matt Smith	1	1	Find mate	Hide
Loch Ness Monster (Skarasen)	1975	1975	4	Tom Baker	4	1	Serve big bad	Terror of the Zygons
Aukon (one of Three who rule)	1980	1980	4	Tom Baker	4	1	Drink blood, control humans	State of Decay
Sea Devils	1972	1984	3,5	Jon Pertwee, Peter Davison	10	2	Capture the Doctor	The Sea Devils, Warriors of the Deep
Anti-matter monster	1975	1975	4	Tom Baker	4	1	Energy	Planet of Evil
Cheetah people	1989	1989	7	Sylvester McCoy	3	1	Serve big bad	Survival
Gubbage Cone 	1965	1965	1	William Hartnell	6	1	Attack the Doctor	The Chase
Caw 	2007	2007	10	David Tennant	13	1	Gold	The Infinite Quest 
Winder 	2010	2010	11	Matt Smith	1	1	Protect 	The Beast Below
Taltalian, Bruno	1970	1970	7	Jon Pertwee	7	1	Serve big bad	The Ambassadors of Death
Adrasta, Lady	1979	1979	4	Tom Baker	4	1	Mineral wealth	The Creature from the Pit
Trask (The Highlanders)	1966	1967	2	Patrick Troughton	4	1	Smuggle weapons	The Highlanders
Mansell	1983	1983	5	Peter Davison	4	1	Competing for enlightment	Enlightenment
Tegana	1964	1964	1	William Hartnell	7	1	Kill the Doctor	Marco Polo
Wirrn/Wirrrn 	1975	1975	4	Tom Baker	4	1	World domination	The Ark in Space
Ulysees Meregrass	2007	2007	10	David Tennant 	13	1	Make money	The Infinite QuestElders (the)	1966	1966	1	William Hartnell	4	1	Self interest	The Savages
Neo-Nazis, Windsor	1988	1988	7	Sylvester McCoy	3	1	Fascist stooge	Silver Nemesis
Viperox	2009	2009	10	David Tennant	7	1	Hunt/invade	Dreamland
Calvierri, Signora Rosanna	2010	2010	11	Matt Smith	1	1	reproduce	The Vampires of Venice
Vasor	1964	1964	1	William Hartnell	6	1	Save alien planet	The Keys of Marinus
Gravis	1984	1984	5	Peter Davison	4	1	Kill Humans	Frontios
Silurians (exc Sea Devils)	1970	2010	3,5,11	Jon Pertwee, Peter Davison, Matt Smith	16	5	World domination	Doctor Who and the Silurians, Warriors of the Deep, The Hungry Earth/Cold Blood, The Pandorica Opens (see Alliance above), A Good Man Goes to War
Caven, Maurice	1969	1969	2	Patrick Troughton	6	1	Invade another alien planet	The Space Pitrates
Spoonheads	2013	2013	11	Matt Smith	1	1	Serve big bad	The Bells of Saint John
Vigil, The	2013	2013	11	Matt Smith	1	1	Serve Big Bad	The Rings of Ahkaten 
Heavenly Host 	2007	2007	10	David Tennant	1	1	Serve big bad	Voyage of the Damned
Dalek Supreme (Supreme Dalek), inc Progenitor	1964	2010	1, 2, 3, 4, 5, 6, 7, 10, 11	William Hartnell, Patrick Troughton, Jon Pertwee, Tom Baker, Peter Davison, Colin Baker, Sylvester McCoy, David Tennant, Matt Smith	63	14	Earth invasion/Human extermination	Dalek Invasion of earth, The Daleks' Master Plan, The Chase, The Evil of the Daleks, Day of the Daleks, Frontier in Space, Planet of the Daleks, Destiny of the Daleks, Resurrection of the Daleks, Revelation of the Daleks, Remembrance of the Daleks, The Stolen Earth/Journey's End, Victory of the Daleks, The Pandorica Opens
Krynoids	1976	1976	4	Tom Baker	6	1	World domination	Seeds of Doom
Carlo 	2010	2010	11	Matt Smith	1	1	Serve big bad	The Vampires of Venice
Dastari, Joinson	1985	1985	2,6	Patrick Troughton, Colin Baker	3	1	Medical experiments	The Two Doctors
Eternals	1983	1983	5	Peter Davison	4	1	Amusement, universal control	Enlightenment
Mailer, Harry 	1971	1971	3	Jon Pertwee	6	1	Power	The mind of Evil
Grendel, Count	1978	1978	4	Tom Baker	4	1	To posess a key	The Androids of Tara
Jagrafess	2005	2005	9	Christopher Eccleston	1	1	Control Humans	The Long Game
Rassilon	1983	2010	1,2,3,4,5,10,11	Richard Hurndall, Patrick Troughton, Jon Pertwee, Tom Baker, Peter Davison, David Tennant, Matt Smith	3	2	Power	The Five Doctors, The End of Time
Macra (the)	1967	2007	2,10	Patrick Troughton, David Tennant	5	2	Kill everything	The Macra Terror, Gridlock
Pangol	1980	1980	4	Tom Baker	4	1	Conquest	The Leisure Hive
Icthar	1984	1984	5	Peter Davison	4	1	Power	Warriors of the Deep
Quarks	1968	1968	2	Patrick Troughton	5	1	Enslavement	The Dominators
Krillitane	2008	2008	10	David Tennant	1	1	Self interest	School Reunion
Kala	1964	1964	1	William Hartnell	6	1	Save alien planet 	The Keys of Marinus
Staal	2008	2008	10	David Tennant	2	1	World domination	The Sontaran Stratagem/The Poison Sky
Vervoids 	1986	1986	6	Colin Baker	4	1	Kill humans	Terror of the Vervoids
Fortune Teller	2008	2008	10	David Tennant 	1	1	Manipulating the past	Turn Left
Myrka (the)	1984	1984	5	Peter Davison	4	1	Serve big bad	Warriors of the Deep
Bok	1971	1971	3	Jon Pertwee	5	1	Assist Azal	The Dæmons
Automated Corpse	2005	2005	9	Christopher Eccleston	1	1	Serve big bad	The Long Game
Oak, Mr	1968	1968	2	Patrick Troughton	6	1	Serve big bad	Fury from the Deep
Lazarus, Professor Richard	2007	2007	10	David Tennant	1	1	Kill humans	The Lazarus Experiment
Wagner	2006	2006	10	David Tennant	1	1	Control time and the universe	School Reunion
Morka	1970	1970	3	Jon Pertwee	7	1	World domination	Doctor Who and the Silurians    
Magpie (Mr)	2006	2006	10	David Tennant 	1	1	Career	The Idiot's Lantern
New Humans	2006	2007	10	David Tennant	2	2	Sabotage	New Earth, Gridlock
Beast (the)	2006	2006	10	David Tennant	2	1	Satan Figure	The Impossible Planet/The Satan Pit
Martha Jones- Clone	2008	2008	10	David Tennant	2	1	Serve big bad	The Sontaran Stratagem/The Poison Sky
Reegan	1970	1970	7	Jon Pertwee	7	1	Crime	The Ambassadors of Death
Cobb, General	2008	2008	10	David Tennant	1	1	War	The Doctor's Daughter
Raston Warrior Robot	1983	1983	1,2,3,4,5	Richard Hurndall, Patrick Troughton, Jon Pertwee, Tom Baker, Peter Davison	1	1	Kill everything	The Five Doctors
Black Guardian (the)	1978	1979	4,5	Tom Baker, Peter Davison	18	5	Wants evil	The Key to Time, Terminus, Mawdryn Undead, Enlightenment, Armageddon factor
Flood (the)	2009	2009	10	David Tennant	1	1	Viral infection	 The Waters of Mars
Light	1989	1989	7	Sylvester McCoy	3	1	Destroy all life	Ghost Light
Voord	1964	1964	1	William Hartnell	6	1	Wants to control a Planet	The Keys of Marinus
Krafayis	2010	2010	11	Matt Smith	1	1	Hunt  	Vincent and the Doctor
Oil Rig	2007	2007	10	David Tennant	13	1	Drain oil from planets, make money	The Infinite Quest 
Maggot/Giant Maggot	1973	1973	3	Jon Pertwee	6	1	Kill humans	The Green Death
Whitaker	1974	1974	3	Jon Pertwee	6	1	Possess time travel	Invasion of the Dinosaurs
Grandfather (Akhaten)	2013	2013	11	Matt Smith	1	1	Feed off memories and feelings	The Rings of Akhaten
Azlok	2009	2009	10	David Tennant	7	1	Invading Earth	Dreamland
van Statten, Henry	2005	2005	9	Christopher Eccleston	1	1	Corruption	Dalek
Hawthorne	2010	2010	11	Matt Smith	1	1	Power	The Beast Below
Rodrick	2005	2005	9,10	Christopher Eccleston, David Tennant	2	2	money (prize money)	Bad Wolf, Parting of the Ways
Handbots	2011	2011	11	Matt Smith	1	1	Kill with kindness	The girl who waited
McAllister, Ewan	2005	2005	9	Christopher Eccleston	1	1	Serve big bad	World War Three 
Hartman, Yvonne	2006	2006	10	David Tennant	2	1	Assist Cybermen	Army of Ghosts/Doomsday
Kaftan	1967	1967	2	Patrick Troughton	4	1	Power	Tomb of the Cybermen
Quinlan, Sir James	1970	1970	7	Jon Pertwee	7	1	Serve big bad	The Ambassadors of Death
Mummies (Osirian service robots)	1975	1975	4	Tom Baker	4	1	Serve big bad	 Pyramids of Mars
Ratcliffe, George	1988	1988	7	Sylvester McCoy	4	1	Ally with the Nazis	Rememberance of the Daleks
Tekker	1985	1985	6	Colin Baker	2	1	Serve big bad	Timelash
Vynda-K, Graff	1978	1978	4	Tom Baker	4	1	Make money	The Ribos Operation
Pond, Melody (before redemption)	2011	2011	11	Matt Smith	1	1	Serve big bad	Let's Kill Hitler
Slab	2007	2007	10	David Tennant	1	1	Serve big bad	Smith and Jones
Scorby 	1976	1976	4	Tom Baker	6	1	Flee England	The seeds of Doom
Cranleigh, George	1982	1982	5	Peter Davison	2	1	Kill humans	Black Orchid
Vaughn, Tobias	1968	1968	2	Patrick Troughton	8	1	Kill the Doctor	The Invasion
Broton	1975	1975	4	Tom Baker 	4	1	Power	Terror of the Zygons
Snowmen, The	2012	2012	11	Matt Smith	1	1	Serve Big Bad	The Snowmen
Cyberman Android	1982	1982	5	Peter Davison	4	1	Destroy the world	Earthshock
Wrack	1983	1983	5	Peter Davison	4	1	Compete for enlightenment	Enlightenment
Weeping Angels	2007	2012	10,11	David Tennant, Matt Smith	4	3	Kill, trap in time	Blink, The Time of Angels/Flesh and Stone, The Angels Take Manhattan
Saxon, Lucy	2007	2010	10	David Tennant	4	2	Serve big bad	The End of time, The Sound of Drums/Last of the Time Lords
Cult of Skaro (inc Dalek Sec and three others) 	2006	2007	10	David Tennant	4	2	Earth invasion/Human extermination/Human-Dalek hybrid	Army of Ghosts/Doomsday, Daleks in Manhattan/Evolution of the Daleks
Cyber-leader	1975	1988	1,2,3,4,5,6,7	William Hartnell, Patrick Troughton, Jon Pertwee, Tom Baker, Peter Davison, Colin Baker, Sylvester Mc Coy 	14	5	Serve big bad 	Revenge of the Cybermen, Earthshock, The Five Doctors, Attack of the Cybermen, Silver Nemesis
White Robot	1968	1968	2	Patrick Troughton	5	1	Serve big bad 	The Mind Robber 
Chip	2006	2006	10	David Tennant	1	1	Serve big bad 	New Earth
Kal	1963	1963	1	William Hartnell	4	1	Power	An Unearthy Child
Host (the)	2006	2006	10	David Tennant	1	1	Kill everything	Tooth and Claw
Tryst	1979	1979	4	Tom Baker	4	1	Make money	Nightmare of Eden
Super Voc SV7 robot	1977	1977	4	Tom Baker	4	1	Serve big bad	The Robots of Death
Grover, Charles	1974	1974	3	Jon Pertwee	6	1	Power	Invasion of the Dinosaurs
Seers	1978	1978	4	Tom Baker	4	1	Serve big bad	Underworld
Haemovores (inc Ancient One)	1989	1989	7	Sylvester McCoy	4	1	Serve big bad	The Curse of Fenric
Smilers (Winders)	2010	2010	11	Matt Smith	1	1	Serve big bad	The Beast Below
Dream Lord	2010	2010	11	Matt Smith	1	1	Defeat the Doctor	Amy's Choice
Hieronymous	1976	1976	4	Tom Baker	4	1	Power/ serve big bad	The Masque of Mandragora
Horda	1977	1977	4	Tom Baker	4	1	Kill everything	The Face of Evil
War Chief	1969	1969	2	Patrick Troughton	10	1	Kidnapp	The War Games
Vashta Nerada	2008	2008	10	David Tennant	2	1	Consume lifeforms	Silence in the Library/Forest of the Dead
Soloman	2012	2012	11	Matt Smith	1	1	Profit	Dinosaurs on a Spaceship
Peg dolls	2011	2011	11	Matt Smith	1	1	Turn humans into dolls	Night terrors
Father Angelo	2006	2006	10	David Tennant	1	1	Kill humans	Tooth and Claw
Great One (Giant Spiders of Metebelis III)	1974	1974	3	Jon Pertwee	6	1	Universe domination	Planet of the Spiders
Blowfish	2010	2010	11	Matt Smith	1	1	Imprison the Doctor	The Pandorica Opens (see Alliance above)
Sneed, Gabriel	2005	2005	9	Christopher Eccleston	1	1	Self interest	The Unquiet Dead
Simeon, Dr	2012	2012	11	Matt Smith	1	1	Serve big bad	The Snowmen
Mrs Gillyflower	2013	2013	11	Matt Smith	1	1	Divine justice	The Crimson Horror
Quillam	1985	1985	6	Colin Baker 	2	1	Experiments on humans	Vengeance on Varos
Grugger	1980	1980	4	Tom Baker	4	1	Serve big bad	Meglos
Number 79B, Alckman Road	2010	2010	11	Matt Smith	1	1	Capture humans	The Lodger
Empty Child	2005	2005	9	Christopher Eccleston	2	1	Kill humans	The Empty Child/The Doctor Dances
Droid, Anne 	2005	2005	9,10	Christopher Eccleston, David Tennant	2	2	Kill humans	Bad Wolf, The Parting of the Ways
Helen A	1988	1988	7	Sylvester McCoy	3	1	Human dictatorship/enslavement	The Happiness Patrol
Meglos	1980	1980	4	Tom Baker	4	1	Kill the Doctor	Meglos
Grey Lady robot	1965	1965	1	William Hartnell	6	1	Serve big bad	The Chase
Stike	1985	1985	2,6	Patrick Troughton, Colin Baker	3	1	Make time machine	The Two Doctors
Kandyman	1988	1988	7	Sylvester McCoy	3	1	Dictatorship/enslavement	The Happiness Patrol
Cybermen	1966	2013	1, 2, 3, 4, 5, 6, 7, 10, 11	William Hartnell, Patrick Troughton, Jon Pertwee, Tom Baker, Peter Davison, Colin Baker, Sylvester McCoy, David Tennant, Matt Smith	57	24	Earth invasion/Human extermination	The Tenth Planet, The Moonbase, The Tomb of the Cybermen, The Wheel in Space, The Invasion, Revenge of the Cybermen, Earthshock, The Five Doctors, Attack of the Cybermen, Silver Nemesis, Rise of the Cybermen/The Age of Steel, Army of Ghosts/Doomsday, The Next Doctor, The Pandorica Opens, The War Games, The Mind of Evil, Carnival of Monsters, Logopolis, Mawdryn Undead, Dalek, Human Nature, A Good Man Goes to War, Closing Time, Nightmare in Silver
Davinadroid	2005	2005	9	Christopher Eccleston	1	1	Controll Humans	Bad Wolf   
Morbius	1976	1976	4	Tom Baker	4	1	Universal control	The Brain of Morbius
Varla	1967	1967	2	Patrick Troughton	3	1	Possess time travel	The Two Doctors
Aridians	1965	1965	1	William Hartnell	6	1	Self interest	The Chase
Celestial Toymaker	1966	1966	1	William Hartnell	4	1	Kill/ enslave humans	Celestial Toymaker
Rani (the)	1985	1993	3,4,5,6,7	Jon Pertwee, Tom Baker, Peter Davison, Colin Baker, Sylvester McCoy	8	3	Enslavement, Medical experimentation	The Mark of the Rani, Dimensions in Time, Time and the Rani
MacMillan (DI)	2009	2009	10	David Tennant	1	1	Career	Planet of the Dead
Drashigs	1973	1973	3	Jon Pertwee	4	1	Kill everything	Carnival of Monsters
Terrible Zodin	1983	1985	1,2,3,4,6	William Hartnell, Patrick Troughton, Jon Pertwee, Tom Baker, Colin Baker	3	2	attack the Doctor	The Five Doctors, Attack of the Cybermen
Tractator	1984	1984	5	Peter Davison	4	1	Invade	Frontios
Red Carnivorous Maw	2009	2010	10	David Tennant	2	1	World domination	The End of Time
Autons (Marcellas, Commander and Claudio)	1970	2010	3,9,11	Jon Pertwee, Christopher Eccleston, Matt Smith	11	5	Defeat the Doctor	Terror of the Autons, Spearhead from Space, Rose, The Pandorica Opens/The Big Bang, Love & Monsters
War Lord	1969	1969	2	Patrick Troughton	10	1	Kidnapp	The War Games
Gods of Ragnarok	1989	1989	7	Sylvester McCoy	4	1	Kill alien species/enslavement	The Greatest Show in the Galaxy
Collector (the)	1977	1977	4	Tom Baker	4	1	Human dictatorship/enslavement	The Sun Makers
Futurekind	2007	2007	10	David Tennant	1	1	Kill humans	Utopia
Camilla (one of Three who rule)	1980	1980	4	Tom Baker	4	1	Drink blood, control humans	State of Decay
Dibber	1986	1986	6	Colin Baker	4	1	Self-interest	The Mysterious Planet
Mawdryn	1983	1983	5	Peter Davison	4	1	Kill humans	Mawdryn Undead
Kronos	1972	1972	3	Jon Pertwee	6	1	Serve big bad	The Time Monster
Morgaine	1989	1989	7	Sylvester McCoy	4	1	War	Battlefield
Teselecta antibodies		2011	11	Matt Smith	1	1	Serve big bad	Let's Kill Hitler
Yartek	1964	1964	1	William Hartnell	6	1	Serve big Bad	The Keys of Marinus
Association (the)	1988	1988	7	Sylvester McCoy	4	1	Fascist stooge	Rememberance of the Daleks
Robotic crab	1987	1987	7	Sylvester McCoy	4	1	Serve big bad	Paradise Towers
Pyroviles	2008	2008	10	David Tennant	1	1	World domination	The Fires of Pompeii
Saturnynians	2010	2010	11	Matt Smith	1	1	World domination	The Vampires of Venice
Borad	1985	1985	6	Colin Baker	2	1	Kill humans	Timelash
Rutans	1977	1977	4	Tom Baker	4	1	War	Horror of Fang Rock
Naismith, Joshua	2009	2010	10,11	David Tennant, Matt Smith	2	1	Immortality	The End of Time
Omega	1972	1983	1,2,3,5	William Hartnell, Patrick Troughton, Jon Pertwee, Peter Davison	8	2	Revenge	The Three Doctors, Arc of Infinity
Grayle	2012	2012	11	Matt Smith	1	1	Collect Weeping Angels	The Angels Take Manhattan
Hartigan, Mercy	2008	2008	10	David Tennant	1	1	Human dictatorship/enslavement	The Next Doctor
Xanxia, Queen	1978	1978	4	Tom Baker	4	1	Make money	The Pirate Planet
Surgeons	2005	2005	9	Christopher Eccleston	1	1	Serve big bad	The End of the World
Headless Monks	2011	2011	11	Matt Smith	1	1	Serve big bad	A Good Man Goes to War
Eyesen	1964	1964	1	William Hartnell	6	1	Self-interest	The Keys of Marinus
Maaga	1965	1965	1	William Hartnell 	4	1	escape doomed planet	Galaxy 4
Dalek Duplicates	1984	1984	5	Peter Davison	2	1	Serve big bad	Ressurrection of the Daleks
Francesco	2010	2010	11	Matt Smith	1	1	Serve big bad	The Vampires of Venice
Screaming Jungle (The)	1964	1964	1	William Hartnell	6	1	Save alien planet	The Keys of Marinus
Mongol Bandit 	1964	1964	1	William Hartnell 	7	1	Serve big bad 	Marco Polo
Editor	2005	2005	9	Christopher Eccleston	1	1	Control Humans	The Long Game
Cessair of Diplos (The Cailleach/Morgana Montcalm/Senora Camara/Vivien Fay)	1978	1978	4	Tom Baker	4	1	Murder/theft	The Stones of Blood
Robotic cleaners	1987	1987	7	Sylvester McCoy	4	1	Serve big bad	Paradise Towers
Quill, Mr	1968	1968	2	Patrick Troughton	6	1	Serve big bad	Fury from the Deep
Gantok	2011	2011	11	Matt Smith	1	1	Serve big bad	The Wedding of River Song
Eckersley	1974	1974	3	Jon Pertwee	6	1	World domination	The Monster of Peladon
Azal	1971	1971	3	Jon Pertwee	5	1	Kill humans	The Dæmons
Trin-E	2005	2005	9	Christopher Eccleston	1	1	Serve big bad	Bad Wolf
L1 robot	1986	1986	6	Colin Baker 	4	1	Capture the Doctor	The Mysterious Planet
Forester	1964	1964	1	William Hartnell	3	1	Money	Planet of Giants
Squawk	2007	2007	10	David Tennant	13	1	Serve big bad	The Infinite Quest 
Destroyer	1989	1989	7	Sylvester McCoy	4	1	Defeat the Doctor	Battlefield
K1 Robot (Giant Robot)	1974	1975	4	Tom Baker	4	1	Mindless destruction	Robot
Judoon	2007	2010	10,11	David Tennant, Matt Smith	3	3	Obey bureaucracy	Smith & Jones, The Stolen Earth, The Pandorica Opens (see Alliance above)
Eight legs	1974	1974	3	Jon Pertwee	6	1	Serve big bad	Planet of the Spiders
Carrionites	2007	2007	10	David Tennant	1	1	World domination	The Shakespeare Code
Fenric	1989	1989	7	Sylvester McCoy	4	1	Control Humans	The Curse of Fenric
Mandrels	1979	1979	4	Tom Baker	4	1	Kill everything	Nightmare of Eden
Restac	2010	2010	11	Matt Smith	1	1	World domination	Cold Blood
Yeti	1967	1983	1,2,3,4,5	William Hartnell, Patrick Troughton, Jon Pertwee, Tom Baker, Peter Davison	13	3	Serve big bad	The Abominable Snowmen, The Web of Fear, The Five Doctors
Halpen, Klineman	2008	2008	10	David Tennant	1	1	Kill an alien species	Planet of the Ood
Hath	2008	2008	10	David Tennant	1	1	War	The Doctor's Daughter
Kalik	1973	1973	3	Jon Pertwee	4	1	Power	Carnival of Monsters
Kraal 	1975	1975	4	Tom Baker	4	1	Kill humans	The Android Invasion
Zargo (one of Three who rule)	1980	1980	4	Tom Baker	4	1	Drink blood, control humans	State of Decay
Mandragora Helix	1976	1976	4	Tom Baker	4	1	World domination	The Masque of Mandragora
Kiv, Lord	1986	1986	6	Colin Baker	4	1	Make money	Mindwarp
Zygons	1975	2012	4,11	Tom Baker, Matt Smith	5	2	Invade earth	Terror of the Zygons, The Power of Three
Brethren (the), inc Father Angelo	2006	2006	10	David Tennant	1	1	Serve big bad	Tooth and Claw
Skeleton Crew 	2007	2007	10	David Tennant	13	1	Self interest	The Infinite Quest 
